the,ðә
progress,"'prәugres"
bottom,"'bɒtәm"
island,"'ailәnd"
exchange,"iks'tʃeindʒ"
clean,kli:n
studio,"'stju:diәu"
county,"'kaunti"
train,trein
lady,"'leidi"
colleague,"'kɒli:g"
application,".æpli'keiʃәn"
lean,li:n
neck,nek
damage,"'dæmidʒ"
plastic,"'plæstik"
tall,tɒ:l
plate,pleit
hate,heit
otherwise,"'ʌðәwaiz"
writing,"'raitiŋ"
male,meil
alive,"ә'laiv"
expression,"ik'spreʃәn"
football,"'futbɒ:l"
theater,"'θiәtә"
intend,"in'tend"
chicken,"'tʃikin"
army,"'ɑ:mi"
abuse,"ә'bju:s.ә'bju:z"
shut,ʃʌʃ
map,mæp
extra,"'ekstrә"
session,"'seʃәn"
welcome,"'welkәm"
danger,"'deindʒә"
domestic,"dәu'mestik"
earth,ә:θ
lots,lɔts
literature,"'litәrәtʃә"
rain,rein
desire,"di'zaiә"
assessment,"ә'sesmәnt"
injury,"'indʒәri"
respect,"ri'spekt"
paint,peint
northern,"'nɒ:ðәn"
nod,nɒd
fuel,"'fjuәl"
leaf,li:f
dry,drai
russian,"'rʌʃәn"
instruction,"in'strʌkʃәn"
pool,pu:l
climb,klaim
sweet,swi:t
engine,"'endʒin"
fourth,fɒ:θ
salt,sɒ:lt
expand,"ik'spænd"
importance,"im'pɒ:tәns"
metal,"'metәl"
fat,fæt
ticket,"'tikit"
software,"'sɒftwєә"
disappear,".disә'piә"
corporate,"'kɒ:pәrit"
strange,streindʒ
reading,"'ri:diŋ"
lip,lip
urban,"'ә:bәn"
mental,"'mentl"
increasingly,"in'kri:siŋli"
lunch,lʌntʃ
educational,".edju'keiʃәnl"
somewhere,"'sʌmhwєә"
farmer,"'fɑ:mә"
sugar,"'ʃugә"
planet,"'plænit"
favorite,"'feivәrit"
explore,"ik'splɒ:"
obtain,"әb'tein"
enemy,"'enimi"
greatest,"'^reitist"
complex,"kәm'pleks"
surround,"sә'raund"
athlete,"'æθli:t"
invite,"in'vait"
repeat,"ri'pi:t"
carefully,"'kєәfuli"
soul,sәul
scientific,".saiәn'tifik"
impossible,"im'pɒsәbl"
panel,"'pænl"
meaning,"'mi:niŋ"
mom,mʌm
married,"'mærid"
instrument,"'instrumәnt"
predict,"pri'dikt"
weather,"'weðә"
presidential,".prezi'denʃәl"
commitment,"kә'mitmәnt"
emotional,"i'mәuʃәnәl"
supreme,"sju'pri:m"
bear,bєә
pocket,"'pɒkit"
thin,θin
temperature,"'temprәtʃә"
poll,pәul
surprise,"sә'praiz"
proposal,"prә'pәuzl"
consequence,"'kɒnsikwәns"
breath,breθ
sight,sait
balance,"'bælәns"
adopt,"ә'dɒpt"
minority,"mai'nɒriti"
straight,streit
connect,"kә'nekt"
teaching,"'ti:tʃiŋ"
belong,"bi'lɒŋ"
aid,eid
advice,"әd'vais"
okay,"әj'kei"
organize,"'ɒ:gәnaiz"
empty,"'empti"
regional,"'ri:dʒәnәl"
trail,treil
novel,"'nɒvl"
code,kәud
somehow,"'sʌmhau"
jury,"'dʒuәri"
iraqi,"i'rɑ:ki"
breast,brest
acknowledge,"әk'nɒlidʒ"
theme,θi:m
storm,stɒ:m
union,"'ju:njәn"
desk,desk
fruit,fru:t
expensive,"ik'spensiv"
yellow,"'jelәu"
conclusion,"kәn'klu:ʒәn"
prime,praim
shadow,"'ʃædәu"
struggle,"'strʌgl"
conclude,"kәn'klu:d"
dance,dæns. dɑ:ns
analyst,"'ænәlist"
regulation,".regju'leiʃәn"
being,"'bi:iŋ"
ring,riŋ
largely,"'lɑ:dʒli"
shift,ʃift
revenue,"'revinju:"
locate,"'lәukeit"
mark,mɑ:k
appearance,"ә'piәrәns"
package,"'pækidʒ"
difficulty,"'difikәlti"
bridge,bridʒ
recommend,".rekә'mend"
obvious,"'ɒbviәs"
basically,"'beisikli"
generate,"'dʒenәreit"
anymore,"'eni'mɔ:"
propose,"prә'pәuz"
thinking,"'θiŋkiŋ"
possibly,"'pɒsәbli"
trend,trend
visitor,"'vizitә"
loan,lәun
currently,"'kʌrәntli"
comfortable,"'kʌmfәtәbl"
investor,"in'vestә"
profit,"'prɒfit"
angry,"'æŋgri"
crew,kru:
accident,"'æksidәnt"
meal,mi:l
hearing,"'hiәriŋ"
traffic,"'træfik"
muscle,"'mʌsl"
notion,"'nәuʃәn"
capture,"'kæptʃә"
prefer,"pri'fә:"
chest,tʃest
japanese,".dʒæpә'ni:z"
truly,"'tru:li"
thick,θik
cash,kæʃ
museum,"mju:'ziәm"
beauty,"'bju:ti"
emergency,"i'mә:dʒәnsi"
unique,"ju:'ni:k"
internal,"in'tә:nәl"
ethnic,"'eθnik"
link,liŋk
stress,stres
content,"kәn'tent"
select,"si'lekt"
root,ru:t
nose,nәuz
declare,"di'klєә"
appreciate,"ә'pri:ʃieit"
actual,"'æktʃuәl"
bottle,"'bɒtl"
hardly,"'hɑ:dli"
setting,"'setiŋ"
launch,lɒ:ntʃ
file,fail
sick,sik
outcome,"'autkʌm"
ad,æd
defend,"di'fend"
duty,"'dju:ti"
sheet,ʃi:t
ensure,"in'ʃuә"
ought,ɒ:t
extremely,"ik'stri:mli"
catholic,"'kæθәlik"
extent,"ik'stent"
mix,miks
component,"kәm'pәunәnt"
slow,slәu
contrast,"kәn'træst"
zone,zәun
wake,weik
airport,"'єәpɒ:t"
ourselves,".auә'selvz"
brown,braun
shirt,ʃә:t
pilot,"'pailәt"
warn,wɒ:n
ultimately,"'ʌltimәtli"
cat,kæt
contribution,".kɒntri'bju:ʃәn"
capacity,"kә'pæsiti"
estate,"i'steit"
guide,gaid
circumstance,"'sә:kәmstәns"
snow,snәu
english,"'iŋgliʃ"
politician,".pɒli'tiʃәn"
steal,sti:l
pursue,"pә'sju:"
slip,slip
percentage,"pә'sentidʒ"
meat,mi:t
funny,"'fʌni"
neither,"'naiðә"
soil,sɒil
aids,eidz
surgery,"'sә:dʒәri"
correct,"kә'rekt"
jew,dʒu:
jewish,"'dʒu:iʃ"
due,dju:
blame,bleim
estimate,"'estimeit"
basketball,"'bɑ:skitbɒ:l"
hill,hil
golf,gɒlf
investigate,"in'vestigeit"
crazy,"'kreizi"
chain,tʃein
branch,bræntʃ
combination,".kɒmbi'neiʃәn"
frequently,"'fri:kwәntli"
governor,"'gʌvәnә"
relief,"ri'li:f"
user,"'ju:zә"
dad,dæd
kick,kik
ancient,"'einʃәnt"
manner,"'mænә"
rating,"'reitiŋ"
silence,"'sailәns"
golden,"'gәuldn"
motion,"'mәuʃәn"
german,"'dʒә:mәn"
gender,"'dʒendә"
solve,sɒlv
fee,fi:
landscape,"'lændskeip"
used,"'ju:st"
bowl,bәul
equal,"'i:kwәl"
frame,freim
forth,fɒ:θ
typical,"'tipikl"
except,"ik'sept"
conservative,"kәn'sә:vәtiv"
eliminate,"i'limineit"
hall,hɒ:l
host,hәust
trust,trʌst
ocean,"'әuʃәn"
row,rәu. rau
producer,"prә'dju:sә"
afford,"ә'fɒ:d"
meanwhile,"'mi:nhwail"
regime,"rei'ʒi:m"
division,"di'viʒәn"
fix,fiks
confirm,"kәn'fә:m"
appeal,"ә'pi:l"
mirror,"'mirә"
tooth,tu:θ
length,leŋθ
smart,smɑ:t
rely,"ri'lai"
entirely,"in'taiәli"
association,"ә.sәuʃә'eiʃәn"
complain,"kәm'plein"
topic,"'tɒpik"
variable,"'vєәriәbl"
telephone,"'telifәun"
perception,"pә'sepʃәn"
attract,"ә'trækt"
secret,"'si:krit"
bedroom,"'bedrum"
confidence,"'kɒnfidәns"
debt,det
rare,rєә
tank,tæŋk
nurse,nә:s
opposition,".ɒpә'ziʃәn"
coverage,"'kʌvәridʒ"
aside,"ә'said"
anywhere,"'enihwєә"
bond,bɒnd
pleasure,"'pleʒә"
master,"'mɑ:stә. 'mæstә"
era,"'iәrә"
requirement,"ri'kwaiәmәnt"
fun,fʌn
wing,wiŋ
expectation,".ekspek'teiʃәn"
separate,"'sepәreit"
somewhat,"'sʌmhwɒt"
pour,pɒ:
stir,stә:
judgment,"'dʒʌdʒmәnt"
beer,biә
reference,"'refәrәns"
tear,tiә. tєә
doubt,daut
grant,grænt
seriously,"'siәriәsli"
minister,"'ministә"
totally,"'tәutli"
hero,"'hiәrәu"
industrial,"in'dʌstriәl"
cloud,klaud
stretch,stretʃ
winner,"'winә"
volume,"'vɒljum"
seed,si:d
surprised,"sә'praizd"
fashion,"'fæʃәn"
pepper,"'pepә"
busy,"'bizi"
intervention,".intә'venʃәn"
copy,"'kɒpi"
tip,tip
cheap,tʃi:p
aim,eim
cite,sait
welfare,"'welfєә"
vegetable,"'vedʒәtәbl"
dish,diʃ
improvement,"im'pru:vmәnt"
beach,bi:tʃ
everywhere,"'evrihwєә"
gray,grei
opening,"'әupәniŋ"
overall,"'әuvәrɒ:l"
divide,"di'vaid"
initial,"i'niʃәl"
terrible,"'terәbl"
oppose,"ә'pәuz"
route,ru:t
contemporary,"kәn'tempәrәri"
multiple,"'mʌltipl"
essential,"i'senʃәl"
lake,leik
league,li:g
careful,"'kєәful"
criminal,"'kriminәl"
core,kɒ:
upper,"'ʌpә"
rush,rʌʃ
necessarily,"'nesisәrili"
specifically,"spi'sifikli"
tired,taiәd
employ,"im'plɒi"
holiday,"'hɒlәdi"
vast,vɑ:st
fewer,"'fju:ә"
household,"'haushәuld"
resolution,".rezә'lu:ʃәn"
abortion,"ә'bɒ:ʃәn"
witness,"'witnis"
apart,"ә'pɑ:t"
match,mætʃ
barely,"'bєәli"
sector,"'sektә"
emphasize,"'emfәsaiz"
representative,".repri'zentәtiv"
beneath,"bi'ni:θ"
incident,"'insidәnt"
beside,"bi'said"
limited,"'limitid"
proud,praud
flow,flәu
faculty,"'fækәlti"
waste,weist
increased,"in'kri:st"
merely,"'miәli"
mass,mæs
experiment,"ik'sperimәnt"
definitely,"'definitli"
bomb,bɒm
liberal,"'libәrәl"
enormous,"i'nɒ:mәs"
tone,tәun
massive,"'mæsiv"
engineer,".endʒi'niә"
wheel,hwi:l
decline,"di'klain"
invest,"in'vest"
cable,"'keibl"
towards,"tә'wɔ:dz"
expose,"ik'spәuz"
rural,"'ruәrәl"
narrow,"'nærәu"
cream,kri:m
secretary,"'sekrәtәri"
gate,geit
solid,"'sɒlid"
noise,nɒiz
typically,"'tipikәli"
grass,græs
hat,hæt
unfortunately,"ʌn'fɔ:tjjnәtli"
legislation,".ledʒis'leiʃәn"
succeed,"sәk'si:d"
celebrate,"'selibreit"
achievement,"ә'tʃi:vmәnt"
fishing,"'fiʃiŋ"
accuse,"ә'kju:z"
useful,"'ju:sful"
reject,"ri'dʒekt"
talent,"'tælәnt"
taste,teist
characteristic,".kærәktә'ristik"
milk,milk
escape,"i'skeip"
cast,kɑ:st. kæst
sentence,"'sentәns"
unusual,".ʌn'ju:ʒu:l"
closely,"'klәusli"
convince,"kәn'vins"
height,hait
physician,"fi'ziʃәn"
assess,"ә'ses"
plenty,"'plenti"
virtually,"'vә:tʃuәli"
addition,"ә'diʃәn"
sharp,ʃɑ:p
creative,"kri:'eitiv"
lower,"'lәuә"
approve,"ә'pru:v"
explanation,".eksplә'neiʃәn"
gay,gei
honor,"'ɒnә"
proper,"'prɒpә"
campus,"'kæmpәs"
guilty,"'gilti"
acquire,"ә'kwaiә"
technical,"'teknikl"
compete,"kәm'pi:t"
plus,plʌs
immigrant,"'imigrәnt"
weak,wi:k
illegal,"i'li:gәl"
hi,hai
alternative,"ɒ:l'tә:nәtiv"
column,"'kɒlәm"
interaction,".intәr'ækʃәn"
personality,".pә:sә'næliti"
curriculum,"kә'rikjulәm"
signal,"'signl"
king,kiŋ
passenger,"'pæsindʒә"
assistance,"ә'sistәns"
forever,"fә'revә"
regard,"ri'gɑ:d"
israeli,"iz'reili"
twenty,"'twenti"
knock,nɒk
lab,læb
wrap,ræp
display,"dis'plei"
criticism,"'kritisizm"
asset,"'æset"
depression,"di'preʃәn"
spiritual,"'spiritʃuәl"
musical,"'mju:zikl"
prayer,"prєә. 'preiә"
journalist,"'dʒә:nәlist"
suspect,"sә'spekt"
scholar,"'skɒlә"
warning,"'wɒ:niŋ"
climate,"'klaimit"
cheese,tʃi:z
observation,".ɒbzә:'veiʃәn"
payment,"'peimәnt"
childhood,"'tʃaildhud"
sir,sә:
permit,"pә'mit"
definition,".defi'niʃәn"
cigarette,".sigә'ret"
priority,"prai'ɒriti"
bread,bred
creation,"kri:'eiʃәn"
graduate,"'grædʒueit"
request,"ri'kwest"
emotion,"i'mәuʃәn"
scream,skri:m
dramatic,"drә'mætik"
universe,"'ju:nivә:s"
gap,gæp
deeply,"'di:pli"
excellent,"'ekslәnt"
prosecutor,"'prɒsikju:tә"
lucky,"'lʌki"
drag,dræg
airline,"'єәlain"
library,"'laibrәri"
agenda,"ә'dʒendә"
recover,"ri'kʌvә"
factory,"'fæktәri"
selection,"si'lekʃәn"
primarily,"'praimәrili"
roof,ru:f
unable,"ʌn'eibl"
expense,"ik'spens"
initiative,"i'niʃiәtiv"
diet,"'daiәt"
arrest,"ә'rest"
funding,"'fʌndiŋ"
therapy,"'θerәpi"
wash,wɒʃ
schedule,"'skedʒuәl"
sad,sæd
brief,bri:f
housing,"'hausiŋ"
post,pәust
purchase,"'pә:tʃәs"
existing,"i^'zistiŋ"
steel,sti:l
regarding,"ri'gɑ:diŋ"
shout,ʃaut
visual,"'viʒuәl"
fairly,"'fєәli"
violent,"'vaiәlәnt"
chip,tʃip
silent,"'sailәnt"
suppose,"sә'pәuz"
self,self
bike,baik
tea,ti:
perceive,"pә'si:v"
comparison,"kәm'pærisn"
settlement,"'setlmәnt"
layer,"'leiә"
description,"di'skripʃәn"
slide,slaid
widely,"'waidli"
wedding,"'wediŋ"
inform,"in'fɒ:m"
portion,"'pɒ:ʃәn"
territory,"'teritәri"
immediate,"i'mi:diәt"
opponent,"ә'pәunәnt"
abandon,"ә'bændәn"
transform,"træns'fɒ:m"
tension,"'tenʃәn"
leading,"'li:diŋ"
bother,"'bɒðә"
consist,"kәn'sist"
alcohol,"'ælkәhɒl"
enable,"i'neibl"
saving,"'seiviŋ"
bend,bend
desert,"'dezәt. di'sә:t"
shall,ʃæl
error,"'erә"
cop,kɒp
arab,"'ærәb"
double,"'dʌbl"
spanish,"'spæniʃ"
sand,sænd
print,print
preserve,"pri'zә:v"
passage,"'pæsidʒ"
formal,"'fɒ:mәl"
transition,"træn'ziʃәn"
existence,"ig'zistәns"
participation,".pɑ:tisi'peiʃәn"
album,"'ælbәm"
arrange,"ә'reindʒ"
atmosphere,"'ætmәsfiә"
joint,dʒɒint
reply,"ri'plai"
cycle,"'saikl"
lock,lɒk
opposite,"'ɒpәzit"
deserve,"di'zә:v"
consistent,"kәn'sistәnt"
resistance,"ri'zistәns"
discovery,"dis'kʌvәri"
exposure,"ik'spәuʒә"
pose,pәuz
stream,stri:m
sale,seil
pot,pɒt
mine,main
grand,grænd
hello,"hә'lәu"
tale,teil
knife,naif
coalition,".kәuә'liʃәn"
resolve,"ri'zɒlv"
racial,"'reiʃәl"
phase,feiz
joke,dʒәuk
coat,kәut
mexican,"'meksikәn"
symptom,"'simptәm"
manufacturer,".mænju'fæktʃәrә"
philosophy,"fi'lɒsәfi"
potato,"pә'teitәu"
quote,kwәut
foundation,"faun'deiʃәn"
negotiation,"ni.gәuʃi'eiʃәn"
urge,ә:dʒ
occasion,"ә'keiʒәn"
dust,dʌst
breathe,bri:ð
elect,"i'lekt"
investigator,"in'vestigeitә"
jacket,"'dʒækit"
ordinary,"'ɒ:dinәri"
glad,glæd
reduction,"ri'dʌkʃәn"
rarely,"'rєәli"
pack,pæk
suicide,"'sjuisaid"
numerous,"'nju:mәrәs"
substance,"'sʌbstәns"
discipline,"'disiplin"
elsewhere,"'elshwєә"
iron,"'aiәn"
practical,"'præktikl"
moreover,"mɒ:'әuvә"
passion,"'pæʃәn"
volunteer,".vɒlәn'tiә"
implement,"'implimәnt"
essentially,"i'senʃәli"
gene,dʒi:n
enforcement,"in'fɒ:smәnt"
sauce,sɒ:s
independence,".indi'pendәns"
marketing,"'mɑ:kitiŋ"
priest,pri:st
amazing,"ә'meiziŋ"
intense,"in'tens"
advance,"әd'vɑ:ns"
employer,"im'plɒiә"
shock,ʃɒk
inspire,"in'spaiә"
adjust,"ә'dʒʌst"
retire,"ri'taiә"
kiss,kis
illness,"'ilnis"
visible,"'vizәbl"
cap,kæp
competitive,"kәm'petitiv"
habit,"'hæbit"
congressional,"kәn'greʃәnl"
juice,dʒu:s
involvement,"in'vɔlvmәnt"
dominate,"'dɒmineit"
previously,"'pri:vju:sli"
whenever,"hwen'evә"
transfer,"træns'fә:"
analyze,"'ænәlaiz"
attach,"ә'tætʃ"
disaster,"di'zɑ:stә"
parking,"'pɑ:kiŋ"
prospect,"'prɒspekt"
boss,bɒs
complaint,"kәm'pleint"
championship,"'tʃæmpiәnʃip"
fundamental,".fʌndә'mentәl"
severe,"si'viә"
enhance,"in'hæns"
mystery,"'mistәri"
poverty,"'pɒvәti"
impose,"im'pәuz"
spending,"'spendiŋ"
entry,"'entri"
evaluate,"i'væljueit"
symbol,"'simbl"
maker,"'meikә"
mood,mu:d
accomplish,"ә'kʌmpliʃ"
emphasis,"'emfәsis"
boot,bu:t
illustrate,"'ilәstreit"
monitor,"'mɒnitә"
entertainment,".entә'teinmәnt"
asian,"'eiʃәn"
bean,bi:n
creature,"'kri:tʃә"
evaluation,"i.vælju'eiʃәn"
commander,"kә'mɑ:ndә"
digital,"'didʒitәl"
arrangement,"ә'reindʒmәnt"
concentrate,"'kɒnsәntreit"
usual,"'ju:ʒuәl"
psychological,".saikә'lɒdʒikәl"
anger,"'æŋgә"
heavily,"'hevili"
peak,pi:k
approximately,"ә'prɒksimәtli"
increasing,"in'kri:siŋ"
missile,"'misail"
disorder,"dis'ɒ:dә"
equally,"'i:kwәli"
wire,"'waiә"
vary,"'vєәri"
round,raund
distribution,".distrә'bju:ʃәn"
transportation,".trænspә'teiʃәn"
holy,"'hәuli"
twin,twin
command,"kә'mɑ:nd"
commission,"kә'miʃәn"
interpretation,"in.tә:pri'teiʃәn"
breakfast,"'brekfәst"
strongly,"'strɒŋli"
luck,lʌk
engineering,".endʒi'niәriŋ"
constant,"'kɒnstәnt"
clinic,"'klinik"
veteran,"'vetәrәn"
smell,smel
tablespoon,"'teiblspu:n"
capable,"'keipәbl"
nervous,"'nә:vәs"
tourist,"'tuәrist"
toss,tɒs
crucial,"'kru:ʃәl"
bury,"'beri"
pray,prei
tomato,"tә'mɑ:tәu"
exception,"ik'sepʃәn"
butter,"'bʌtә"
deficit,"'defisit"
bathroom,"'bɑ:θru:m"
objective,"әb'dʒektiv"
electronic,".ilek'trɒnik"
ally,"'ælai. ә'lai"
journey,"'dʒә:ni"
surely,"'ʃuәli"
reputation,".repju'teiʃәn"
tower,"'tauә"
mixture,"'mikstʃә"
smoke,smәuk
confront,"kәn'frʌnt"
pure,pjuә
glance,"'glɑ:ns"
toy,tɒi
prisoner,"'priznә"
dimension,"dai'menʃәn"
fellow,"'felәu"
smooth,smu:ð
nearby,"'niәbai"
peer,piә
personnel,".pә:sә'nel"
designer,"di'zainә"
relative,"'relәtiv"
educator,"'edjukeitә"
belt,belt
immigration,".imi'greiʃәn"
teaspoon,"'ti:spu:n"
birthday,"'bә:θdei"
implication,".impli'keiʃәn"
perfectly,"'pә:fiktli"
coast,kәust
supporter,"sә'pɒ:tә"
accompany,"ә'kʌmpәni"
silver,"'silvә"
teenager,"'ti:nidʒә"
recognition,".rekәg'niʃәn"
retirement,"ri'taiәmәnt"
recovery,"ri'kʌvәri"
flag,flæg
whisper,"'hwispә"
gentleman,"'dʒentlmәn"
corn,kɒ:n
inner,"'inә"
moon,mu:n
junior,"'dʒu:njә"
swing,swiŋ
throat,θrәut
salary,"'sælәri"
observer,"әb'zә:vә"
publication,".pʌbli'keiʃәn"
dig,dig
crop,krɒp
permanent,"'pә:mәnәnt"
phenomenon,"fi'nɒminәn"
anxiety,"æŋ'zaiәti"
unlike,".ʌn'laik"
literally,"'litәrәli"
resist,"ri'zist"
wet,wet
convention,"kәn'venʃәn"
embrace,"im'breis"
assist,"ә'sist"
exhibition,".eksi'biʃәn"
construct,"kәn'strʌkt"
viewer,"'vju:ә"
pan,pæn
consultant,"kәn'sʌltәnt"
administrator,"әd'ministreitә"
occasionally,"ә'keiʒәnli"
mayor,"'mєә"
consideration,"kәn.sidә'reiʃәn"
pink,piŋk
secure,"si'kjuә"
historic,"hi'stɒrik"
buck,bʌk
poem,"'pәuim"
grandmother,"'grændmʌðә"
bind,baind
fifth,fifθ
constantly,"'kɒnstәntli"
enterprise,"'entәpraiz"
favor,"'feivә"
testing,"'testiŋ"
apparent,"ә'pærәnt"
stomach,"'stʌmәk"
weigh,wei
install,"in'stɒ:l"
sensitive,"'sensitiv"
suggestion,"sә'dʒestʃәn"
mail,meil
recipe,"'resipi"
reasonable,"'ri:znәbl"
elementary,".eli'mentәri"
wooden,"'wudn"
preparation,".prepә'reiʃәn"
aggressive,"ә'gresiv"
concert,"'kɒnsәt"
false,fɒ:ls
intention,"in'tenʃәn"
channel,"'tʃænәl"
extreme,"ik'stri:m"
tube,tju:b
drawing,"'drɒ:iŋ"
quit,kwit
protein,"'prәuti:in"
absence,"'æbsәns"
latin,"'lætin"
rapidly,"'ræpidli"
jail,dʒeil
honest,"'ɒnist"
diversity,"dai'vә:siti"
palestinian,",pælis'tiniәn"
pace,peis
employment,"im'plɒimәnt"
speaker,"'spi:kә"
essay,"'esei. e'sei"
impression,"im'preʃәn"
respondent,"ri'spɒndәnt"
giant,"'dʒaiәnt"
cake,keik
negotiate,"ni'gәuʃieit"
historian,"hi'stɒ:riәn"
restore,"ri'stɒ:"
substantial,"sәb'stænʃәl"
pop,pɒp
specialist,"'speiʃәlist"
origin,"'ɒridʒin"
approval,"ә'pru:vl"
criticize,"'kritisaiz"
advise,"әd'vaiz"
quietly,"'kwaiәtli"
conventional,"kәn'venʃәnl"
depth,depθ
disability,"disә'biliti"
wealth,welθ
shell,ʃel
biological,".baiәu'lɒdʒikәl"
effectively,"i'fektivli"
onion,"'ʌnjәn"
deputy,"'depjuti"
flat,flæt
brand,brænd
assure,"ә'ʃuә"
mad,mæd
award,"ә'wɒ:d"
criteria,"krai'tiәriә"
dealer,"'di:lә"
via,vaiә
utility,"ju:'tiliti"
precisely,"pri'saisli"
armed,ɑ:md
arise,"ә'raiz"
nevertheless,".nevәðә'les"
highway,"'haiwei"
clinical,"'klinikәl"
routine,"ru:'ti:n"
wage,weidʒ
normally,"'nɒ:mәli"
phrase,freiz
ingredient,"in'gri:diәnt"
stake,steik
muslim,"'mjzlim; (?@) 'mʌzlem"
fiber,"'faibә"
activist,"'æktivist"
islamic,"iz'læmik"
snap,snæp
terrorism,"'terәrizm"
refugee,".refju'dʒi:"
incorporate,"in'kɒ:pәreit"
ultimate,"'ʌltimit"
corporation,".kɒ:pә'reiʃәn"
hip,hip
switch,switʃ
valuable,"'væljuәbl"
assumption,"ә'sʌmpʃәn"
gear,giә
barrier,"'bæriә"
minor,"'mainә"
assign,"ә'sain"
council,"'kaunsәl"
provision,"prә'viʒәn"
killer,"'kilә"
gang,gæŋ
developing,"di'velәpiŋ"
classic,"'klæsik"
chemical,"'kemikl"
label,"'leibl"
teen,ti:n
index,"'indeks"
vacation,"vei'keiʃәn"
advocate,"'ædvәkeit"
draft,dræft. drɑ:ft
extraordinary,"ik'strɒ:dәnәri"
heaven,"'hevn"
rough,rʌf
yell,jel
pregnant,"'pregnәnt"
distant,"'distәnt"
drama,"'drɑ:mә"
satellite,"'sætlait"
personally,"'pә:sәnli"
clock,klɒk
chocolate,"'tʃɒkәlit"
italian,"i'tæljәn"
canadian,"kә'neidiәn"
sweep,swi:p
advertising,"'ædvәtaiziŋ"
ceiling,"'si:liŋ"
universal,".ju:ni'vә:sl"
spin,spin
button,"'bʌtәn"
bell,bel
rank,ræŋk
darkness,"'dɑ:knis"
clothing,"'klәuðiŋ"
super,"'sju:pә"
yield,ji:ld
fence,fens
portrait,"'pɒ:treit"
survival,"sә'vaivәl"
roughly,"'rʌfli"
bunch,bʌntʃ
lawsuit,"'lɒ:sju:t"
testimony,"'testimәni"
found,faund
burden,"'bә:dn"
react,"ri'ækt"
chamber,"'tʃeimbә"
cooperation,"kәu.ɒpә'reiʃәn"
furniture,"'fәnitʃә"
ceremony,"'serimәni"
string,striŋ
communicate,"kә'mju:nikeit"
cheek,tʃi:k
lost,lɒst
profile,"'prәufail"
mechanism,"'mekәnizm"
disagree,".disә'gri:"
penalty,"'penәlti"
ie,"'i:ei"
resort,"ri'zɒ:t"
destruction,"di'strʌkʃәn"
unlikely,".ʌn'laikli"
tissue,"'tiʃu:"
constitutional,".kɒnsti'tju:ʃәnl"
pant,pænt
stranger,"'streindʒә"
infection,"in'fekʃәn"
cabinet,"'kæbinit"
broken,"'brәukәn"
apple,"'æpl"
electric,"i'lektik"
proceed,"prәu'si:d"
bet,bet
literary,"'litәrәri"
virus,"'vaiәrәs"
strategic,"strә'ti:dʒik"
fortune,"'fɒ:tʃәn"
stupid,"'stju:pid"
dispute,"dis'pju:t"
assistant,"ә'sistәnt"
overcome,".әuvә'kʌm"
remarkable,"ri'mɑ:kәbl"
statistics,"stә'tistiks"
occupy,"'ɒkjupai"
wipe,waip
encounter,"in'kauntә"
shopping,"'ʃɒpiŋ"
cousin,"'kʌzәn"
initially,"i'niʃәli"
blind,blaind
port,pɒ:t
electricity,".ilek'trisiti"
adviser,"әd'vaizә"
genetic,"dʒi'netik"
spokesman,"'spәuksmәn"
retain,"ri'tein"
latter,"'lætә"
incentive,"in'sentiv"
slave,sleiv
accurate,"'ækjurәt"
translate,"træns'leit"
whereas,"hwєәr'æz"
terror,"'terә"
expansion,"ik'spænʃәn"
elite,"ei'li:t"
olympic,"әu'limpik"
dirt,dә:t
odd,ɒd
bullet,"'bulit"
rice,rais
tight,tait
bible,"'baibl"
chart,tʃɑ:t
solar,"'sәulә"
square,skwєә
complicated,"'kɒmplikeitid"
gently,"'dʒentli"
concentration,".kɒnsәn'treiʃәn"
revolution,".revә'lu:ʃәn"
strip,strip
interpret,"in'tә:prit"
scenario,"si'nɑ:riәu"
reflection,"ri'flekʃәn"
champion,"'tʃæmpiәn"
telescope,"'teliskәup"
friendly,"'frendli"
tournament,"'tә:nәmәnt"
fiction,"'fikʃәn"
detect,"di'tekt"
recommendation,".rekәmen'deiʃәn"
lifetime,"'laiftaim"
tremendous,"tri'mendәs"
senator,"'senәtә"
hunting,"'hʌntiŋ"
salad,"'sælәd"
guarantee,".gærәn'ti:"
innocent,"'inәsәnt"
boundary,"'baundri"
pause,pɒ:z
remote,"ri'mәut"
satisfaction,".sætis'fækʃәn"
journal,"'dʒә:nәl"
lover,"'lʌvә"
bench,bentʃ
raw,rɒ:
awareness,"ә'weәnis"
surprising,"sә'praiziŋ"
withdraw,"wið'drɒ:"
deck,dek
pole,pәul
testify,"'testifai"
newly,"'nju:li"
similarly,"'similәli"
mode,mәud
valley,"'væli"
dialogue,"'daiәlɒg"
naturally,"'nætʃәrәli"
imply,"im'plai"
advanced,"әd'vɑ:nst"
mutual,"'mju:tʃuәl"
founder,"'faundә"
pride,praid
dismiss,"dis'mis"
aircraft,"'єәkræft"
delivery,"di'livәri"
mainly,"'meinli"
platform,"'plætfɒ:m"
freeze,fri:z
finance,"fai'næns"
god,^ɔd
sink,siŋk
bake,beik
attractive,"ә'træktiv"
diverse,"dai'vә:s"
relevant,"'relivәnt"
ideal,"ai'diәl"
joy,dʒɒi
regularly,"'regjulәli"
working,"'wә:kiŋ"
conservation,".kɒnsә'veiʃәn"
evolve,"i'vɒlv"
shooting,"'ʃu:tiŋ"
